datetime,ic,rank_ic
2024-01-01,0.09924478947921357,0.09460606200367225
2024-01-02,0.1542551429658318,0.1142473082033739
2024-01-03,0.09366540953901333,0.09586258399128764
2024-01-04,0.12730651091837425,0.08342062054312203
2024-01-05,0.1742230012084197,0.07225528162200762
2024-01-08,0.14640730331158905,0.07952730069653449
2024-01-09,0.1962599973252285,0.10616224068826485
2024-01-10,0.03505592992953245,0.04973344307411522
2024-01-11,0.05150780767955951,0.03112479397324127
2024-01-12,0.027233613600596517,0.0355545072294612
2024-01-15,0.00591228928896923,0.011923979444264423
2024-01-16,0.014276690580624307,-0.02039397526005517
2024-01-17,0.05049468461656178,0.006143412149890326
2024-01-18,0.034062525774660235,-0.01562592158289045
2024-01-19,0.14993720239747227,0.10159701606203299
2024-01-23,0.01969875888081546,0.05366904295110636
2024-01-24,0.055280032609604936,0.06224880478532029
2024-01-25,0.027525371118008075,0.0461634350355711
2024-01-29,0.02933339835078977,0.005857165910276534
2024-01-30,0.03097653215135692,-5.543946977007049e-05
2024-01-31,0.11238851381698284,0.029453273316409827
2024-02-01,0.11904516562468695,0.049684025332352146
2024-02-02,0.12909943488035283,0.05429299192606709
2024-02-05,0.21172800277660353,0.0960646722514265
2024-02-06,0.13711196351731278,-0.028027997431037524
2024-02-07,0.13578154342630086,0.029277505258401285
2024-02-08,0.11987663882954191,0.02212720194389671
2024-02-09,0.039741354728933496,0.020745655378026053
2024-02-12,0.22319788867014193,0.2994248073001455
2024-02-13,0.1510290642292036,0.18057640890994087
2024-02-14,0.08685987050448511,0.06914183584200785
2024-02-15,0.07759404597696917,0.08889946210752168
2024-02-16,0.17364087786935714,0.06690560774188309
2024-02-19,0.21166679034877173,0.11723913718208834
2024-02-20,0.1800349521328056,0.12941468408385362
2024-02-21,0.10812941273486924,0.11099418674484221
2024-02-22,0.0722919081488844,0.08921113426040697
2024-02-23,0.06718591603095914,0.039076658712521715
2024-02-26,0.04049273059986616,0.03711659153554631
2024-02-27,-0.002771537787439652,0.05237074341585426
2024-02-28,0.14405985220450312,0.08326884112900076
2024-02-29,0.12126857841600254,0.04275689024633187
2024-03-01,0.12226389511394822,0.003861632081455456
2024-03-04,0.12288384203715587,0.060671735875468424
2024-03-05,0.08940471790718207,0.08429084930593593
2024-03-06,0.06373736129775531,0.003997214099133451
2024-03-07,0.13844539503717723,0.10077007825559244
2024-03-11,0.1790216165121648,0.07931740112975051
2024-03-12,0.11578909678397568,0.07923556168144293
2024-03-13,0.35666258752582763,0.3174116773908127
2024-03-14,0.23949796786301258,0.2166719853252
2024-03-15,0.20817684816222523,0.19551498374504372
2024-03-18,0.216187844719932,0.14340633848494824
2024-03-19,0.2091551277054463,0.1661560829368654
2024-03-20,0.17708053717358435,0.13003293810426625
2024-03-21,0.06926352337983009,-0.001641417877926561
2024-03-22,0.043959336979518294,-0.05799660596577953
2024-03-26,0.05692805028509508,0.015526596446497806
2024-03-27,0.1867912734768708,0.11605137341379718
2024-03-28,0.16556301929710224,0.15415538595822964
2024-04-01,0.0864496750441404,0.023406794875588895
2024-04-02,0.07102087516482324,0.04753283433457628
2024-04-03,-0.004638160492664973,0.044398222718260306
2024-04-04,0.009057931850470527,0.009311345844742152
2024-04-05,0.034619609749283575,0.0032997673892985373
2024-04-08,-0.02801936477378702,-0.003440537784466017
2024-04-09,0.15491275818073355,0.016256774830511803
2024-04-10,0.08021618334327135,0.005029794418141204
2024-04-12,0.24739866124308046,0.11714413891154876
2024-04-15,0.183063187033915,0.12515973713471212
2024-04-16,0.23324820293906806,0.060646897920716585
2024-04-18,0.17091095729908332,0.14575097118844388
2024-04-19,0.12191327990342944,0.14163017956360358
2024-04-22,0.1486449029328561,0.13019760271847203
2024-04-23,0.09356102427297851,0.11172411106881219
2024-04-24,0.11184872753762393,0.07949450608271942
2024-04-25,0.04175045638380426,0.07428706809840445
2024-04-26,0.06901079376320447,0.09988085167315429
2024-04-29,0.1756480251422502,0.10162499023174416
2024-04-30,0.11475174494636965,0.07479007293118478
2024-05-02,0.1039260953518857,0.16528860853566069
2024-05-03,0.03932840980327228,0.03568722786963685
2024-05-06,0.07254789374178659,0.017789435063163085
2024-05-07,0.09779712506899235,0.10713868184205805
2024-05-08,0.09806084621306038,0.037838209646105736
2024-05-09,0.08360365417728383,0.11003517288172747
2024-05-10,0.07659691006554664,0.02812514209448968
2024-05-13,0.01990591324895444,-0.0298328540022919
2024-05-14,0.038541806020733704,-0.04665567734342891
2024-05-15,0.06965852930444105,-0.015364580138585769
2024-05-16,0.10965700208952452,0.00328254388113526
2024-05-17,0.06653759230100859,0.035026931420094685
2024-05-21,-0.033461418832666456,0.0708288233561211
2024-05-22,0.01226628795528029,0.06206978191598306
2024-05-23,-0.07492927199970109,0.07971892347395196
2024-05-24,0.14631772832562986,0.05675266973631257
2024-05-27,0.21152542943415473,0.027177386943538297
2024-05-28,0.11960293406380045,0.10987190123609897
2024-05-29,0.14415799880196017,0.13021016007570535
2024-05-30,-0.026083381912245615,0.053725102133030216
2024-05-31,0.10756784261437685,0.15773927482901648
2024-06-03,0.09648939117441394,0.228685525044407
2024-06-04,0.16366322346516715,0.10530559547680665
2024-06-05,0.10521628562474096,0.00839272554554736
2024-06-06,0.11137230982171165,0.06367808220973799
2024-06-07,0.1213847323044789,0.12380189320582474
2024-06-10,0.07850967722145172,0.06284608116316191
2024-06-11,0.03518186137288202,0.014051124228676543
2024-06-12,0.008606485565088397,0.022338490315662162
2024-06-13,-0.02304989738213107,0.020829304015791923
2024-06-14,0.14032738302069048,0.1272803111360424
2024-06-18,0.20638411599607479,0.05410930029914225
2024-06-19,0.1527806083568554,0.07425913211103383
2024-06-20,0.17560185423193736,0.11672808180343888
2024-06-21,0.2562887011458397,0.13694199435539295
2024-06-24,0.07242222696072138,0.01772170204269944
2024-06-25,0.11328863001513031,0.02034233848326802
2024-06-26,0.2219147558991768,0.12138153765407014
2024-06-27,0.023715860861457817,0.09968077945167245
2024-06-28,0.1872230467655946,0.097827058491177
2024-07-01,0.09211031902661114,0.08525260755283469
2024-07-02,-0.013293479303920467,0.03706929865267951
2024-07-03,0.044864428052338284,0.05770493556154175
2024-07-04,0.08928194859772726,0.03345001897010081
2024-07-05,0.043761877244309424,0.0026308238968778546
2024-07-08,0.1363114176310025,-0.003025413292508709
2024-07-09,0.10635014524919606,0.01675808164950476
2024-07-10,0.05664920310282441,0.03828728365790957
2024-07-11,0.06996570893806052,0.04101089034032864
2024-07-12,0.10712889119121638,0.09139124869196083
2024-07-15,0.12226131435748926,0.1379924723672841
2024-07-16,0.0026342284336885046,0.04705783054296325
2024-07-18,-0.01779526293489482,0.017503738256703913
2024-07-19,0.10589571075033083,0.07474888327971141
2024-07-22,0.016273031210007803,-0.007626143946891145
2024-07-23,0.034054492696642305,-0.028085800155261395
2024-07-24,0.1051963813207804,0.023629469526244343
2024-07-25,0.1267694951540447,0.01271997341158372
2024-07-26,0.1323778230007577,0.0028367066148808065
2024-07-29,0.09995811552100918,-0.019048537020063348
2024-07-30,0.05846998702588308,0.05705211012669905
2024-07-31,0.031790079435670554,0.04976081278122518
2024-08-01,0.05753421296386125,0.07660339696696587
2024-08-02,0.00019209987809236034,0.0584779708102502
2024-08-05,0.224035077269153,0.18256876770926853
2024-08-06,0.2039451020453468,0.19522248588960892
2024-08-07,0.129454390765243,0.14291514688312953
2024-08-08,0.15419615544709736,0.15472306842041772
2024-08-09,0.2243145120370392,0.10428035319449745
2024-08-12,0.18165638506645226,0.09923393664359495
2024-08-13,0.11294329883955999,0.13734794994582125
2024-08-14,-0.053217848763055575,-0.0002675572557781131
2024-08-16,0.06348467871889149,0.08768911014661143
2024-08-19,0.17064777999468286,0.08783174557275364
2024-08-20,0.09226138240816407,0.07021488241827226
2024-08-21,0.05749346249295521,0.04250386877619567
2024-08-22,0.07395433672955261,0.061538049667480374
2024-08-23,0.10186874402052065,0.1140141463947906
2024-08-26,-0.027999418866969265,0.04685298491574489
2024-08-27,0.15250644360600463,0.12573790929723133
2024-08-28,0.11551468342018135,0.13737531736675362
2024-08-29,0.17006746618073237,0.16480835819315004
2024-08-30,0.13411690917243815,0.14128069740133328
2024-09-02,0.16248961930034536,0.14346653468870255
2024-09-03,0.15115190845778556,0.12621584198570046
2024-09-04,0.06712816541419984,0.028651966968063766
2024-09-05,0.02418910060650818,0.023753713922904096
2024-09-06,0.050161720835482926,0.03398392990204755
2024-09-09,0.09382048520002925,0.011383484815742782
2024-09-10,0.03424810565482945,0.03567936680803247
2024-09-11,0.037032598532386905,0.021893201529093787
2024-09-12,0.018758841083279267,0.017896432947336602
2024-09-13,-0.0624183973376405,-0.05696535729560275
2024-09-16,-0.02843965286618565,-0.041356557161167984
2024-09-17,-0.022832139965796375,-0.04703665181792667
2024-09-18,0.14458542770136346,0.011258355451060824
2024-09-19,0.1055151306196862,0.05891894569090342
2024-09-20,0.2640138889931634,0.12457356730053012
2024-09-23,0.281592633824761,0.1239525435042108
2024-09-24,0.1604177442826503,0.051319459618516534
2024-09-25,0.02690673736846251,-0.0013284426691994012
2024-09-26,0.07474055219785053,0.043339441807797675
2024-09-27,0.03417630798427329,0.08862586516489482
2024-09-30,-0.013655747728377885,0.060950397642754256
2024-10-01,0.09517876968492354,0.09279609924664835
2024-10-03,0.04987721600941107,0.06692630153962484
2024-10-04,0.11649891899072858,0.08517717567424357
2024-10-07,0.13958523606329326,0.13376396286423606
2024-10-08,0.06999562934993699,0.0647480804095147
2024-10-09,0.09370971517847747,0.001379028266560154
2024-10-10,0.18320014002873575,0.04043536925993087
2024-10-11,0.1280680989990785,0.046299622954226766
